sid,kitta,c_date,l_close,Cut-off,type
HBL,145580,3/29/2017,980,931,B
KADBL,13182,3/17/2017,270,241.25,D
JBNL,371026,3/28/2017,387,282,B
MBL,323206,3/16/2017,355,325.5,B
SAFL,167144,3/15/2017,226,220,F
SEWA,221607,3/6/2017,309,210.4,D
SETI,66682,3/2/2017,157,127.02,D
ADBL,1968575,2/23/2017,440,361,B
TBBL,229143,2/2/2017,346,202,D
MNBBL,103167,2/1/2017,760,613,D
SBL,158518,1/30/2017,896,812.5,B
ARDBL,51090,2/6/2017,370,186,D
MDB,42259,1/17/2017,490,445,D
GMFIL,28290,1/9/2017,226,232,F
SLICL,20973,1/2/2017,691,653,I
UFL,18253,1/9/2017,274,241,F
MSBBL,46361,1/3/2017,500,431,D
LLBS,15903,12/27/2016,1200,1000,L
MMDBL,4528,12/22/2016,690,498,D
PCBL,432649,12/18/2016,520,464.05,B
KRBL,24948,12/8/2016,285,184,D
CCBL,208337,11/27/2016,347,310,B
ALDBL,41769,12/4/2016,370,312,D
SINDU,81283,12/1/2016,382,261,D
PURBL,29973,12/1/2016,461,411,D
WOMI,4768,11/27/2016,1345,1002,L
NBIL,41837,10/21/2016,1442,1151.51,B
SANIMA,168532,10/2/2016,641,690,B
TBBL,11318,10/14/2016,501,453,D
RHPC,59384,10/4/2016,302,276,H
CZBIL,628041,9/16/2016,729,681,B
NCDB,37310,8/11/2016,389,125,D
NICA,433901,8/4/2016,849,792,B
BPCL,188930,8/10/2016,910,825,H
TRH,700000,7/8/2016,245,243,P
JHBL,4513,7/3/2016,384,327,D
PRVU,184614,6/29/2016,415,467.07,B
TNBL,21903,6/12/2016,511,496,D
