,Cases,Deaths,Recov,Arrival,Continent Diff,Originated,Arrival – china's 1st Case,First Death,First death – First arrival
China,81054,3261,72244,12/31/19,0,,0,01/11/20,11
Italy,53578,4825,6072,01/31/20,2,Wuhan,31,03/04/20,33
Spain,28603,1724,2575,01/31/20,2,Wuhan,31,03/12/20,41
United States,27207,349,176,01/21/20,3,Wuhan,21,03/01/20,40
Germany,23937,92,266,01/27/20,2,Wuhan,27,03/09/20,42
Iran,21638,1685,7913,02/19/20,1,Wuhan,50,02/28/20,9
France,14459,562,1587,02/25/20,2,Wuhan,56,03/09/20,13
South Korea,8897,104,2909,01/20/20,1,Wuhan,20,02/20/20,31
Switzerland,7014,80,15,02/25/20,2,Wuhan,56,03/05/20,9
United Kingdom,5037,234,98,01/31/20,2,Wuhan,31,03/13/20,42
Netherlands,4216,180,0,02/27/20,2,,58,03/06/20,8
Belgium,3401,75,340,02/04/20,2,Wuhan,35,03/11/20,36
Austria,3026,9,9,02/25/20,2,Huwei,56,03/12/20,16
Norway,2249,7,0,02/26/20,2,,57,03/12/20,15
Sweden,1925,21,16,01/24/20,2,,24,03/11/20,47
Portugal,1600,14,5,03/02/20,2,,62,03/16/20,14
Denmark,1512,13,0,02/27/20,2,Wuhan,58,12/03/20,15
Australia,1356,7,43,01/25/20,2,Wuhan,25,03/01/20,36
Canada,1331,21,16,01/25/20,3,Wuhan,25,03/19/20,54
Malaysia,1306,10,139,01/25/20,1,Wuhan,25,03/17/20,52
Brazil,1201,18,2,02/25/20,5,Italy,56,03/19/20,23
Japan,1054,36,215,01/16/20,1,Wuhan,16,02/26/20,41
Turkey,947,21,0,03/11/20,2,China,71,03/18/20,7
Israel,945,1,15,02/21/20,2,Wuhan,52,03/21/20,29
Luxembourg,798,8,6,02/29/20,2,Italy (via China),60,03/13/20,13
Ireland,785,3,5,02/29/20,2,Wuhan,60,03/19/20,19
Diamond Princess,712,9,574,02/29/20,2,Wuhan,60,03/19/20,19
Pakistan,646,3,5,02/26/20,1,Wuhan,57,03/20/20,23
Finland,626,1,10,01/28/20,2,Wuhan,28,03/21/20,53
Thailand,599,1,45,01/13/20,1,Wuhan,13,03/01/20,48
Iceland,568,0,22,02/28/20,2,Wuhan,59,,0
Poland,563,7,1,03/04/20,2,Germany,64,03/12/20,8
Chile,537,1,8,03/03/20,5,Europe,63,03/21/20,18
Ecuador,532,7,3,02/14/20,5,Spain,45,03/14/20,29
Greece,530,13,19,02/26/20,2,Italy,57,03/12/20,15
Indonesia,514,48,29,03/02/20,1,Japan,62,03/11/20,9
Qatar,481,0,27,02/27/20,1,Iran,58,0,
Singapore,455,2,144,01/23/20,1,Wuhan,23,03/21/20,58
Romania,433,2,64,02/26/20,2,Italy,57,03/22/20,25
Slovenia,414,1,0,03/04/20,2,Italy,64,03/14/20,10
Saudi Arabia,392,0,16,03/02/20,1,Wuhan,62,0,
Philippines,380,25,15,01/30/20,1,Wuhan,30,02/02/20,3
