Date,Time,Latitude,Longitude,Magnitude,Epicenter,
2023-05-10,23:30,29.73,81.62,4.3,Bajura,
2023-05-04,07:32,29.78,81.58,4.1,Bajura,
2023-05-01,08:50,29.89,81.93,4,Humla,
2023-04-28,03:40,29.74,81.63,4.1,Bajura,
2023-04-27,19:45,29.78,81.61,5.9,Bajura,
2023-04-27,18:13,29.75,81.56,4.9,Bajura,
2023-04-23,07:27,29.38,81.34,4.1,Bajura,
2023-04-11,13:05,28.17,84.74,4.1,Gorkha,
2023-04-01,05:42,27.76,86.19,5.2,Dolakha,
2023-03-31,21:34,28.12,84.9,4.1,Gorkha,
2023-03-28,17:56,27.86,87.89,4.6,Taplejung,
2023-03-26,16:42,29.42,81.66,4.3,Bajura,
2023-03-24,04:06,29.64,81.89,4.5,Mugu,
2023-03-13,13:11,28.95,81.68,4.1,Dailekh,
2023-03-05,02:50,29.29,81.4,4.4,Achham,
2023-03-05,02:18,27.57,85.59,4.3,Kavrepalanchok,
2023-03-01,11:57,27.82,88.02,4,Taplejung,
2023-02-28,04:18,27.08,87.96,4.3,Illam,
2023-02-22,08:00,29.68,81.67,5.2,Bajura,
2023-02-12,22:45,27.83,87.95,4.8,Taplejung,
2023-02-10,03:07,28.8,82.53,4.2,Rukum,
2023-01-31,18:39,27.42,87.47,4,Taplejung,
2023-01-25,19:22,29.64,81.68,4.1,Bajura,
2023-01-24,08:58,29.75,81.7,5.9,Bajura,
2023-01-21,22:53,27.8,85.81,4.2,Sindhupalchok,
2022-12-27,21:43,28.45,83.09,4,Baglung,
2022-12-27,20:22,28.36,83.19,5.3,Baglung,
2022-12-27,19:38,28.45,83.14,4.7,Baglung,
2022-12-23,01:30,29.1,83.3,4.6,Dolpa,
2022-12-21,19:15,30,80.74,4.1,Darchula,
2022-12-18,17:08,28.26,85.06,4.5,Dhading,
2022-11-28,05:00,26.93,87.26,4,Dhankuta,
2022-11-15,12:23,29.35,81.21,4.2,Achham,
2022-11-12,14:27,29.45,81.19,5.4,Bajhang,
2022-11-09,23:28,29.35,81.29,4.1,Bajura,
2022-11-08,20:27,29.38,81.13,6.6,Doti,
2022-11-08,16:11,29.38,81.11,4.1,Doti,
2022-11-08,15:22,29.38,81.11,5.7,Doti,
2022-10-30,03:41,29.6,81.04,4.6,Bajhang,
2022-10-19,10:08,28.07,86.02,4.5,Sindhupalchok/Tibet,
2022-10-19,09:22,28.15,86.06,5.9,Sindhupalchok/Tibet,
2022-08-19,19:43,28.24,81.77,4.8,Banke,
2022-08-18,16:58,27.97,85.54,4.2,Sindhupalchok,
2022-08-05,23:41,27.83,85.15,5.3,Nuwakot,
2022-07-31,02:28,27.16,86.83,6,khotang,
2022-07-25,00:22,27.94,85.52,4.7,Sindhupalchok,
2022-07-17,22:46,29.41,81.34,4.1,Bajura,
2022-07-10,14:04,29.82,80.76,4.2,Darchula,
2022-07-02,09:47,27.66,86.2,4.1,Dolakha,
2022-06-23,01:37,28.1,84.81,4.1,Gorkha,
2022-06-22,22:11,28.33,83.86,4.9,Kaski,
2022-06-10,20:51,27.7,85.41,4.7,Bhaktapur,
2022-06-07,07:05,29.61,80.51,4,Baitadi,
2022-05-23,09:24,27.3,87.73,4.3,Taplejung,
2022-05-23,09:15,27.31,87.94,4.1,Taplejung,
2022-05-04,04:12,29.35,82.04,4.1,Jumla,
2022-04-19,00:18,29.58,81,4.1,Bajhang,
2022-03-23,10:54,27.9,87.86,4.2,Taplejung,
2022-02-22,10:07,29.7,80.71,4.1,Baitadi,
2022-01-26,11:09,27.9,84.57,4.1,Gorkha,
2022-01-21,00:58,27.98,85.58,4.1,Sindhupalchok,
2022-01-06,18:29,28.68,82.97,4.2,Rukum East,
2022-01-05,10:31,27.67,86.32,4.2,Dolakha,
2021-11-09,08:43,27.87,85.92,4.1,Sindhupalchok,
2021-10-25,14:45,28.29,84.36,4.1,Lamjung,
2021-10-18,09:38,27.86,85.82,4,Sindhupalchok,
2021-10-18,09:35,27.85,85.81,4.1,Sindhupalchok,
2021-10-18,08:11,27.92,85.81,4.7,Sindhupalchok,
2021-10-18,08:01,27.92,85.8,4.7,Sindhupalchok,
2021-10-16,22:24,28.18,84.93,4.3,Gorkha,
2021-10-02,14:28,27.91,85.81,4.1,Sindhupalchowk,
2021-10-02,14:13,27.92,85.81,4.6,Sindhupalchowk,
2021-10-01,07:09,27.71,85.92,4.2,Sindhupalchowk,
2021-09-25,06:27,27.91,85.8,4.5,Sindhupalchowk,
2021-09-20,10:45,29.89,80.59,4.2,Kharra/Darchula,Darchula
2021-09-12,14:56,27.64,86.1,4.3,Dolakha,
2021-08-23,20:38,29.61,81.01,4,Bajhang,
2021-08-12,04:09,26.98,86.69,4.3,Udayapur,
2021-07-23,13:12,27.28,86.9,4.2,Khotang,
2021-07-18,15:14,28.98,81.47,4.3,Dailekh,
2021-07-07,10:12,28.13,84.56,4.2,Lamjung,
2021-07-02,16:17,29.79,81.59,4.1,Bajhang/Bajura,
2021-06-29,08:35,27.3,87.26,4,Sankhuwasabha,
2021-05-19,16:54,28.24,84.41,4.5,Lamjung,
2021-05-19,15:38,28.27,84.42,4,Lamjung,
2021-05-19,02:41,28.27,84.4,5.3,Lamjung,
2021-05-19,02:32,28.26,84.36,4.1,Lamjung,
2021-05-19,02:31,28.26,84.35,4,Lamjung,
2021-05-18,23:57,28.28,84.39,5.8,Lamjung,
2021-04-05,15:19,26.75,89.09,5.8,Binnaguri India,India
2021-03-18,04:20,27.5,85.63,4.1,Kavrepalanchok,
2021-03-03,12:58,27.79,86.35,4.2,Dolakha,
2021-02-09,01:50,27.89,87.91,5.4,Taplejung,
2021-02-04,22:13,27.78,88.15,4.5,Taplejung,
2021-02-02,16:14,28.78,84.1,5.3,Manang,
2021-01-14,11:40,27.66,86.18,4,Dolakha,
2021-01-12,04:03,29.89,80.7,4.2,Darchula,
2021-01-03,04:59,27.66,87.62,4.4,Taplejung,
2020-12-29,20:04,27.66,86.34,4.6,Ramechhap,
2020-12-08,13:23,27.77,87.86,4.2,Taplejung,
2020-12-02,07:57,27.75,85.87,4.2,Sindhupalchok,
2020-11-08,21:44,27.73,87.87,4.9,Taplejung,
2020-10-28,18:34,29.58,80.81,4.2,Bajhang,
2020-10-24,10:32,27.62,86.24,4,Dolakha,
2020-09-15,23:34,27.77,85.88,6,Sindhupalchowk,
2020-09-11,03:45,26.76,88.21,5,Nepal India  Border,
2020-09-09,10:03,27.92,84.94,4,Dhading,
2020-09-04,01:35,27.58,87.19,4,Sankhuwasabha,
2020-08-25,15:24,29.59,80.89,4.7,Bajhang,
2020-08-15,10:22,27.8,87.62,4.2,Sankhuwasabha,
2020-06-16,04:08,27.88,86.2,4.1,Dolakha,
2020-05-30,15:51,27.85,84.93,4.8,Dhading,
2020-05-26,10:15,29.73,82.01,4.2,Humla/Mugu,
2020-05-12,18:08,27.65,86.15,5.3,Dolakha,
2020-04-15,19:10,27.55,86.59,4.7,Solukhumbu,
2020-04-02,15:10,29.58,80.96,4,Bajhang,
2020-03-25,12:51,28.01,84.97,4,Dhading,
2020-03-15,15:00,28.34,83.8,5,Kaski,
2020-03-04,13:32,27.79,86.18,4.3,Dolakha,
2020-02-19,15:28,29.71,81.69,4.3,Bajura/Humla,
2020-01-28,02:14,29.61,81.71,4.2,Bajura,
2020-01-12,20:22,29.59,81.73,4.2,Bajura,
2020-01-12,14:34,29.58,81.71,4.5,Bajura,
2019-12-12,13:26,27.95,85.59,4.8,Sindhupalchowk,
2019-11-27,16:23,27.79,85.79,5,Sindhupalchowk,
2019-11-19,13:30,29.42,81.1,5.7,Bajhang,
2019-11-12,02:00,30.2,80.1,4.6,India,
2019-10-31,22:06,28.45,83.23,4.5,Baglung,
2019-10-28,13:42,29.66,82.04,4.1,Mugu,
2019-10-22,05:21,26.88,86.59,4.1,Udayapur,
2019-10-20,19:24,27.82,87.98,4.2,Taplejung,
2019-09-29,01:42,28.66,83.06,4.4,Rukum/Baglung border,
2019-09-28,04:58,30,81.45,4.3,Bajhang/Humla border,
2019-09-26,13:04,28.28,84.65,4.7,Gorkha/Lamjung border,
2019-09-25,19:33,27.71,86.32,4,Dolakha,
2019-09-22,16:16,28.25,84.49,4.4,Lamjung,
2019-09-21,00:34,28.15,84.61,4,Gorkha,
2019-09-17,04:08,28.21,84.49,4.5,Lamjung,
2019-09-16,14:33,29.8,80.48,4.4,Darchula(Nepal-India Border),
2019-09-15,05:09,30.3,81.74,5,Humla,
2019-08-22,01:22,27.52,86.39,4,Solukhumbu,
2019-08-14,17:24,27.69,86.26,4.3,Dolakha,
2019-08-09,12:41,28.5,83.22,4.7,Myagdi,
2019-07-24,12:13,27.8,86.15,4.2,Dolakha,
2019-07-06,10:30,27.67,85.42,4.6,Bhaktapur,
2019-06-27,16:36,27.95,84.8,4,Dhading,
2019-06-15,15:47,28.95,81.98,4.5,Jajarkot,
2019-06-14,06:37,29.52,81.05,4,Bajhang,
2019-05-30,04:16,29.62,82.11,4.6,Mugu,
2019-05-25,15:23,29.5,81.28,4.3,Bajhang,
2019-05-25,05:17,27.7,86.47,4.9,Ramechhap,
2019-05-21,18:02,28.21,84.37,4.1,Lamjung,
2019-05-17,08:23,27.85,84.87,5,Dhading,
2019-05-11,18:51,28.98,81.78,5.1,Dailekh,
2019-05-04,02:52,27.94,85.72,4,Sindhupalchowk,
2019-04-29,05:50,27.93,85.94,4,Sindhupalchowk,
2019-04-24,00:55,27.7,85.14,4.3,Dhading,
2019-04-24,00:44,27.69,85.17,5.2,Dhading,
2019-04-16,06:50,28,84.76,4.5,Gorkha,
2019-04-14,22:42,29.49,81.24,4.8,Bajhang,
2019-04-13,04:40,28.03,85.38,4.6,Rasuwa,
2019-04-09,07:20,27.76,86.27,4.2,Dolakha,
2019-04-01,15:02,28.98,81.69,4.1,Dailekh,
2019-03-18,03:16,27.63,85.16,4.1,Makawanpur,
2019-02-26,10:35,27.84,85.95,4.1,Sindhupalchok,
2019-02-26,10:30,27.66,86,4.4,Dolakha,
2019-02-16,14:49,27.68,85.27,4,Kathmandu,
2019-02-14,11:26,27.81,88.18,4.6,Taplejung,
2019-01-22,16:45,27.09,86.96,4.5,Bhojpur,
2019-01-10,05:49,27.6,86.31,4.5,Ramechhap,
2018-12-22,23:21,27.85,85.76,4.7,Sindhupalchok,
2018-10-25,01:22,27.72,86.02,4,Sindhupalchok/Dolakha,
2018-10-06,05:07,28.94,81.72,4.3,Dailekh,
2018-10-05,16:00,28.93,81.7,4,Dailekh,
2018-10-05,07:08,28.94,81.74,4,Dailekh,
2018-09-19,19:57,28.57,82.88,4,East Rukum,
2018-08-29,17:50,27.79,87.41,4.2,Sankhuwasabha,
2018-08-24,12:31,27.5,88.04,4.5,Taplejung,
2018-08-02,08:47,27.66,86.1,4.2,Dolakha,
2018-07-24,11:59,27.94,85.51,4.3,Sindhupalchok,
2018-07-24,02:45,27.75,84.87,4.8,Dhading,
2018-07-18,05:30,29.02,81.51,4.2,Dailekh,
2018-07-17,17:07,27.82,84.81,4.4,Dhading,
2018-07-13,03:13,29.57,81.56,4.1,Bajura,
2018-07-05,01:36,28.11,85.04,4.1,Dhading,
2018-06-28,04:07,27.87,84.91,5,Dhading,
2018-06-20,04:15,27.31,87.9,4.7,Taplejung,
2018-06-20,04:09,27.36,88.01,4.8,Taplejung,
2018-06-05,01:34,29.68,81.65,4.9,Bajura,
2018-06-01,15:22,27.68,86.11,4.3,Dolakha,
2018-05-31,20:32,28.17,84.89,4.1,gorkha,
2018-05-31,16:00,28.9,81.77,4.3,Dailekh,
2018-05-24,14:25,29.98,80.54,4.6,Dharchula,
2018-05-05,15:04,27.74,88.13,4.4,Taplejung,
2018-03-02,05:06,27.7,86.33,4.6,Dolakha,
2018-02-26,19:00,27.7,86.33,4.7,Dolakha,
2018-02-21,15:59,28.07,85.96,4.3,Tibet,
2018-01-19,02:53,27.72,86.01,4.3,Dolakha,
2017-12-28,07:45,29.82,80.76,4.5,Darchula,
2017-12-18,11:33,27.96,85.68,4.2,Sindhupalchowk,
2017-12-08,02:51,27.63,86.19,5.2,Dolakha,
2017-11-06,03:09,29.78,81.28,4.5,Bajhang,
2017-10-26,12:51,29.08,81.45,4,Achham,
2017-10-15,11:17,28.5,83.32,4.2,Myagdi,
2017-10-02,01:22,28.83,82.55,4.1,Rukum,
2017-09-21,07:19,27.62,86.25,4.6,Dolakha,
2017-08-24,10:40,28.06,85.94,4.8,Sindhupalchok-Tibet border,
2017-08-22,12:50,29.41,81.1,4.9,Bajhang,
2017-08-21,12:03,27.66,86.27,4.6,Dolakha,
2017-07-24,04:44,27.56,85.96,4,Dolakha,
2017-07-15,04:35,28.94,81.75,4,Dailekh,
2017-07-02,01:58,27.34,86.49,5.1,Okhaldhunga,
2017-06-28,18:24,27.66,86.41,4.2,Ramechhap,
2017-06-14,03:42,27.88,88.13,4.1,Taplejung-Tibet Border,
2017-06-12,11:54,27.62,86.1,4.1,Dolakha,
2017-05-30,05:38,29.64,80.97,4.1,Bajhang,
2017-04-24,11:19,27.86,85.77,4.2,Sindhupalchowk,
2017-04-24,03:04,29.75,81.31,4.1,Bajhang,
2017-03-10,01:43,30.37,81.57,4.1,Humla,
2017-02-27,04:21,27.38,86.13,4.7,Ramechhap,
2017-02-27,03:37,27.36,86.12,4.6,Ramechhap,
2017-02-18,00:15,27.79,84.8,4,Dhading,
2017-02-10,11:13,29.88,80.61,4.1,Darchula,
2017-02-04,12:13,27.73,86.08,4.4,Dolakha,
2017-01-03,06:41,29.71,81.57,4,Bajura,
2016-11-28,23:35,27.79,86.58,5.6,Ramechap/Solukhumbu,
2016-11-06,04:02,29.69,81.05,4,Bajhang,
2016-10-17,04:18,27.87,85.3,4,Nuwakot,
2016-10-15,12:37,28.04,85.17,4.1,Rasuwa,
2016-10-12,08:29,27.66,85.95,4.1,Dolakha,
2016-10-11,07:08,27.67,85.95,4.6,Dolakha,
2016-10-07,04:52,27.65,86.13,4.2,Dolakha,
2016-09-18,17:12,27.91,85.77,4.6,Sindhupalchowk,
2016-09-05,02:04,27.78,86.35,4.5,Dolakha,
2016-09-05,00:37,27.82,86.14,4.1,Dolakha,
2016-08-27,12:03,29.81,81.56,4,Bajura,
2016-07-23,06:14,27.99,84.71,4.1,Gorkha,
2016-07-08,22:23,27.84,86.16,4.1,Dolakha,
2016-07-07,11:53,27.92,85.66,4.4,Sindhupalchowk,
2016-07-07,08:59,28.31,84.35,4.3,Lamjung,
2016-07-02,12:23,29.64,81.28,4.4,Bajhang,
2016-06-29,09:26,29.63,81.24,4.2,Bajhang,
2016-06-29,09:10,29.63,81.28,5,Bajhang,
2016-06-22,13:00,27.76,86.34,4.1,Dolakha,
2016-06-21,05:49,27.93,85.21,4.4,Nuwakot,
2016-06-14,23:27,28.03,84.64,4.3,Gorkha,
2016-06-03,23:25,27.96,85.62,4.4,Sindhupalchowk,
2016-05-28,09:39,27.94,85.5,4.6,Sindhupalchok,
2016-05-24,19:09,27.73,85.16,4.2,Dhading,
2016-05-15,22:45,27.93,85.5,4.4,Sindhupalchowk,
